COUNTRY,POP,GDP_in_Billions,GDP_PER_CAPITA
Austria,8.7474,386.4278,44176.52
Belgium,11.3482,466.3657,41096.16
Bulgaria,7.1278,52.3952,7350.8
Croatia,4.1706,50.4253,12090.67
Cyprus,1.1701,19.8017,23324.2
Czech Republic,10.5616,192.9246,18266.55
Denmark,5.7311,306.1429,53417.66
Estonia,1.3165,23.1367,17574.69
Finland,5.4951,236.785,43090.25
France,66.8961,2465.454,36854.97
Germany,82.6677,3466.7569,41936.06
Greece,10.7467,194.5587,18103.97
Hungary,9.818,124.3429,12664.85
Ireland,4.7731,294.0536,61606.48
Italy,60.6006,1849.9705,30527.27
Latvia,1.9604,27.6774,14118.06
Lithuania,2.8723,42.7389,14879.68
Luxembourg,0.583,59.9478,102831.32
Malta,0.4369,10.9491,25058.17
Netherlands,17.0184,770.845,45294.78
Poland,37.948,469.5087,12372.42
Portugal,10.3246,204.5647,19813.31
Romania,19.7053,186.6906,9474.13
Slovak Republic,5.4287,89.5518,16495.99
Slovenia,2.0648,43.9906,21304.57
Spain,46.444,1232.0882,26528.49
Sweden,9.9031,510.9998,51599.87
United Kingdom,65.6372,2618.8857,39899.39
