cnt,code,canton,score,jeunes,pop
Aargau,AG1,Aargau,0.205,138809,678207
Aargau,AG2,Aargau,0.205,138809,678207
Appenzell Ausserrhoden,AR,Appenzell Ausserrhoden,0.203,11198,55234
Appenzell Innerrhoden,AI1,Appenzell Innerrhoden,0.211,3405,16145
Appenzell Innerrhoden,AI2,Appenzell Innerrhoden,0.211,3405,16145
Appenzell Innerrhoden,AI3,Appenzell Innerrhoden,0.211,3405,16145
Appenzell Innerrhoden,AI4,Appenzell Innerrhoden,0.211,3405,16145
Appenzell Innerrhoden,AI5,Appenzell Innerrhoden,0.211,3405,16145
Basel-Landschaft,BL1,Basel-Landschaft,0.192,55458,288132
Basel-Landschaft,BL2,Basel-Landschaft,0.192,55458,288132
Basel-Stadt,BS,Basel-Stadt,0.174,33969,194766
Bern,BE1,Bern,0.191,197741,1034977
Bern,BE2,Bern,0.191,197741,1034977
Bern,BE3,Bern,0.191,197741,1034977
Bern,BE4,Bern,0.191,197741,1034977
Fribourg,FR1,Fribourg,0.224,71380,318714
Fribourg,FR2,Fribourg,0.224,71380,318714
Fribourg,FR3,Fribourg,0.224,71380,318714
Fribourg,FR4,Fribourg,0.224,71380,318714
Fribourg,FR5,Fribourg,0.224,71380,318714
Fribourg,FR6,Fribourg,0.224,71380,318714
Genève,GE1,Genève,0.212,106077,499480
Genève,GE2,Genève,0.212,106077,499480
Genève,GE3,Genève,0.212,106077,499480
Glarus,GL,Glarus,0.193,7791,40403
Graubünden,GR,Graubünden,0.178,35381,198379
Jura,JU,Jura,0.209,15317,73419
Luzern,LU,Luzern,0.205,83814,409557
Neuchâtel,NE,Neuchâtel,0.209,36989,176850
Nidwalden,NW,Nidwalden,0.18,7798,43223
Obwalden,OW1,Obwalden,0.201,7590,37841
Obwalden,OW2,Obwalden,0.201,7590,37841
Schaffhausen,SH1,Schaffhausen,0.188,15403,81991
Schaffhausen,SH2,Schaffhausen,0.188,15403,81991
Schaffhausen,SH3,Schaffhausen,0.188,15403,81991
Schwyz,SZ,Schwyz,0.194,30944,159165
Solothurn,SO1,Solothurn,0.192,52352,273194
Solothurn,SO2,Solothurn,0.192,52352,273194
Solothurn,SO3,Solothurn,0.192,52352,273194
Solothurn,SO4,Solothurn,0.192,52352,273194
St. Gallen,SG1,St. Gallen,0.206,104584,507697
St. Gallen,SG2,St. Gallen,0.206,104584,507697
Thurgau,TG1,Thurgau,0.205,56613,276472
Thurgau,TG2,Thurgau,0.205,56613,276472
Ticino,TI,Ticino,0.179,63125,353343
Uri,UR,Uri,0.202,7357,36433
Valais,VS,Valais,0.197,67783,343955
Vaud,VD1,Vaud,0.221,176324,799145
Vaud,VD2,Vaud,0.221,176324,799145
Zug,ZG,Zug,0.204,25901,126837
Zürich,ZH,Zürich,0.2,304095,1520968
